Rank;Full Journal Title;JCR Abbreviated Title;Issn;Total Cites;Journal Impact Factor;Impact Factor without Journal Self Cites;5-Year Impact Factor;Immediacy Index;Citable Items;Cited Half-life;Citing Half-life;Eigenfactor Score;Article Influence Score;% Articles in Citable Items;Average Journal Impact Factor Percentile;Normalized Eigenfactor
1079;Current Topics in Microbiology and Immunology;CURR TOP MICROBIOL;0070-217X;5,228;4.015;4.004;3.757;1.415;82;7.2;9.1;0.011210;1.453;0.000;74.568;1.27741
1080;Topics in Current Chemistry;TOP CURR CHEM;0340-1022;5,642;4.014;3.806;4.777;1.097;103;8.4;8.9;0.011640;1.578;0.000;79.448;1.32713
1081;APPLIED CATALYSIS A-GENERAL;APPL CATAL A-GEN;0926-860X;35,552;4.012;3.704;4.403;0.832;537;8.4;7.8;0.034760;0.839;98.700;81.688;3.96169
1081;Emerging Microbes & Infections;EMERG MICROBES INFEC;2222-1751;421;4.012;3.964;3.865;0.531;32;2.0;5.7;0.002080;1.324;81.250;73.830;0.23742
1083;EUROPEAN JOURNAL OF CELL BIOLOGY;EUR J CELL BIOL;0171-9335;3,982;4.011;3.989;3.433;0.525;61;9.1;7.7;0.007440;1.177;83.610;64.973;0.84786
1084;EVOLUTION;EVOLUTION;0014-3820;30,817;4.007;3.620;4.366;0.741;255;>10.0;9.8;0.041060;1.850;92.160;79.818;4.68035
1085;CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY;CRIT REV ENV SCI TEC;1064-3389;3,273;4.000;3.905;4.805;1.349;63;7.8;8.7;0.005270;1.309;0.000;86.889;0.60024
1085;JOURNAL OF OPERATIONS MANAGEMENT;J OPER MANAG;0272-6963;6,807;4.000;3.270;8.229;0.667;48;9.1;>10.0;0.007220;2.374;100.000;96.179;0.82244
1085;JOURNAL OF OPERATIONS MANAGEMENT;J OPER MANAG;0272-6963;6,807;4.000;3.270;8.229;0.667;48;9.1;>10.0;0.007220;2.374;100.000;96.179;0.82244
1085;Journal of Physiotherapy;J PHYSIOTHER;1836-9553;484;4.000;3.313;3.899;0.542;24;3.3;7.3;0.002140;1.189;79.170;96.481;0.24397
1089;JOURNAL OF BIOGEOGRAPHY;J BIOGEOGR;0305-0270;12,696;3.997;3.649;4.723;0.921;203;8.3;8.9;0.023620;1.694;98.030;86.908;2.69200
1089;MATERIALS & DESIGN;MATER DESIGN;0264-1275;23,325;3.997;2.935;4.023;0.845;1,227;3.7;6.7;0.058770;0.928;99.760;83.579;6.69887
1091;INTERNATIONAL JOURNAL OF PHARMACEUTICS;INT J PHARMACEUT;0378-5173;38,726;3.994;3.482;4.248;0.612;900;7.5;7.5;0.043030;0.796;96.000;82.941;4.90474
1092;International Journal of Behavioral Nutrition and Physical Activity;INT J BEHAV NUTR PHY;1479-5868;5,811;3.993;3.668;5.776;0.538;158;4.7;6.5;0.018630;1.831;89.240;82.203;2.12391
1092;LANGMUIR;LANGMUIR;0743-7463;115,942;3.993;3.641;4.210;0.67;1,601;7.6;7.8;0.164800;1.042;99.750;79.131;18.78409
1094;FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS;FORTSCHR PHYS;0015-8208;1,339;3.991;3.877;1.935;2.742;31;5.6;>10.0;0.004160;0.890;96.770;90.506;0.47396
1094;Microbial Biotechnology;MICROB BIOTECHNOL;1751-7907;1,638;3.991;3.829;3.927;0.612;103;4.2;7.6;0.005450;1.190;95.150;79.970;0.62129
1096;HYDROLOGY AND EARTH SYSTEM SCIENCES;HYDROL EARTH SYST SC;1027-5606;10,606;3.990;3.404;4.540;0.872;288;4.6;8.2;0.032080;1.475;98.960;93.729;3.65687
1097;AMERICAN SOCIOLOGICAL REVIEW;AM SOCIOL REV;0003-1224;14,620;3.989;3.747;6.920;0.362;47;>10.0;>10.0;0.014390;4.467;80.850;98.944;1.63988
1097;EUROPEAN JOURNAL OF PERSONALITY;EUR J PERSONALITY;0890-2070;2,386;3.989;3.242;3.577;2.079;38;8.6;10.0;0.005210;1.619;100.000;92.742;0.59436
1097;Retrovirology;RETROVIROLOGY;1742-4690;3,307;3.989;3.742;3.586;0.9;100;4.2;7.5;0.012330;1.401;96.000;74.242;1.40563
1100;BIOLOGICAL CONSERVATION;BIOL CONSERV;0006-3207;23,654;3.985;3.620;4.748;1.194;387;8.2;7.8;0.041230;1.682;95.870;85.171;4.69925
1100;JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY;J STEROID BIOCHEM;0960-0760;9,241;3.985;3.628;3.787;1.123;212;8.5;9.0;0.013840;1.030;60.380;74.923;1.57793
1102;ANNALS OF BOTANY;ANN BOT-LONDON;0305-7364;17,609;3.982;3.770;4.088;1.135;171;9.4;9.7;0.022920;1.254;88.890;90.670;2.61243
1102;DEVELOPMENTAL SCIENCE;DEVELOPMENTAL SCI;1363-755X;5,268;3.982;3.912;4.683;0.843;83;6.5;9.5;0.015390;2.138;98.800;92.916;1.75382
1102;International Journal of Biological Sciences;INT J BIOL SCI;1449-2288;3,178;3.982;3.865;4.454;0.634;131;3.9;7.0;0.009490;1.158;88.550;73.183;1.08221
1105;Journal of Genetics and Genomics;J GENET GENOMICS;1673-8527;1,469;3.981;3.764;3.013;0.389;54;4.6;6.2;0.004520;0.952;74.070;75.425;0.51540
1106;BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION;BIOL BLOOD MARROW TR;1083-8791;8,944;3.980;3.262;3.992;1.087;276;5.3;6.9;0.023700;1.309;95.290;76.514;2.70078
1106;INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH;INT J HYG ENVIR HEAL;1438-4639;3,120;3.980;3.784;4.002;1.0;71;5.4;7.1;0.006840;1.122;94.370;85.291;0.77964
1108;ARTHRITIS RESEARCH & THERAPY;ARTHRITIS RES THER;1478-6354;12,302;3.979;3.737;4.707;0.478;360;5.7;7.2;0.029730;1.435;91.110;76.563;3.38809
1108;Aging-US;AGING-US;1945-4589;2,518;3.979;3.715;4.070;0.28;82;4.4;5.6;0.009010;1.199;96.340;64.439;1.02717
1110;SCIENCE OF THE TOTAL ENVIRONMENT;SCI TOTAL ENVIRON;0048-9697;46,952;3.976;3.528;4.317;0.907;1,458;6.1;8.0;0.083440;1.099;96.910;86.000;9.51051
1111;EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS;EUR J PHARM BIOPHARM;0939-6411;12,572;3.975;3.666;4.389;0.824;319;6.9;7.4;0.016030;0.934;90.280;82.549;1.82662
1112;YALE LAW JOURNAL;YALE LAW J;0044-0094;4,730;3.974;3.728;3.942;1.333;39;>10.0;>10.0;0.005500;1.622;97.440;98.322;0.62636
1113;Journal of Functional Foods;J FUNCT FOODS;1756-4646;3,844;3.973;2.348;4.269;0.774;554;2.3;7.1;0.006850;0.617;95.850;94.000;0.78129
1114;Archives of Disease in Childhood-Fetal and Neonatal Edition;ARCH DIS CHILD-FETAL;1359-2998;4,667;3.969;3.587;3.727;1.11;109;7.9;7.1;0.009510;1.395;81.650;97.083;1.08415
1115;Developmental Cognitive Neuroscience;DEV COGN NEUROS-NETH;1878-9293;1,013;3.963;3.789;4.570;0.449;78;3.2;7.3;0.005890;1.819;94.870;74.414;0.67111
1116;OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE;OMEGA-INT J MANAGE S;0305-0483;4,990;3.962;2.741;4.289;0.504;117;7.9;8.0;0.007370;1.215;95.730;95.309;0.83965
1116;OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE;OMEGA-INT J MANAGE S;0305-0483;4,990;3.962;2.741;4.289;0.504;117;7.9;8.0;0.007370;1.215;95.730;95.309;0.83965
1118;GENES CHROMOSOMES & CANCER;GENE CHROMOSOME CANC;1045-2257;5,063;3.960;3.832;3.746;0.908;76;7.6;6.3;0.010400;1.326;94.740;75.207;1.18589
1119;JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL;J MOL CATAL A-CHEM;1381-1169;20,980;3.958;3.692;4.045;1.114;360;8.7;7.3;0.017270;0.701;99.170;74.653;1.96788
1120;ONCOLOGY RESEARCH;ONCOL RES;0965-0407;1,071;3.957;3.936;2.320;0.056;36;7.1;7.2;0.001380;0.462;86.110;72.535;0.15682
1121;EUROPEAN JOURNAL OF NEUROLOGY;EUR J NEUROL;1351-5101;8,414;3.956;3.330;3.915;1.089;214;5.7;6.4;0.021220;1.254;89.250;77.297;2.41812
1122;SEMINARS IN ONCOLOGY;SEMIN ONCOL;0093-7754;5,073;3.954;3.901;3.847;1.19;84;>10.0;5.9;0.007290;1.249;0.000;72.066;0.83084
1123;CELL CYCLE;CELL CYCLE;1538-4101;17,174;3.952;3.692;4.240;0.863;364;5.7;7.0;0.046380;1.465;95.880;63.904;5.28662
1124;LIVER TRANSPLANTATION;LIVER TRANSPLANT;1527-6465;9,179;3.951;3.463;3.936;1.17;153;7.6;7.0;0.016000;1.274;94.120;84.866;1.82416
1125;Journal of Cheminformatics;J CHEMINFORMATICS;1758-2946;1,299;3.949;3.459;5.944;0.77;61;3.7;7.4;0.005610;1.893;95.080;89.615;0.63960
1126;PLoS Neglected Tropical Diseases;PLOS NEGLECT TROP D;1935-2735;14,371;3.948;3.312;4.478;0.724;805;3.5;7.4;0.057180;1.448;96.270;91.045;6.51684
1127;PEDIATRIC ALLERGY AND IMMUNOLOGY;PEDIAT ALLERG IMM-UK;0905-6157;3,510;3.947;3.148;3.262;0.612;98;5.5;5.9;0.007990;0.929;84.690;79.377;0.91069
1127;TEXAS LAW REVIEW;TEX LAW REV;0040-4411;1,862;3.947;3.693;3.202;1.586;29;9.4;>10.0;0.004040;1.384;100.000;97.651;0.46040
1129;SEMINARS IN ARTHRITIS AND RHEUMATISM;SEMIN ARTHRITIS RHEU;0049-0172;4,022;3.946;3.827;4.256;0.641;103;7.2;7.3;0.008330;1.367;0.000;73.438;0.94928
1130;MOLECULAR HUMAN REPRODUCTION;MOL HUM REPROD;1360-9947;5,158;3.943;3.793;3.836;0.881;84;9.1;7.8;0.008290;1.263;90.480;86.338;0.94487
1131;ATHEROSCLEROSIS;ATHEROSCLEROSIS;0021-9150;22,038;3.942;3.704;4.000;0.866;492;6.3;6.9;0.044610;1.189;91.060;81.746;5.08420
1132;Academy of Management Perspectives;ACAD MANAGE PERSPECT;1558-9080;1,313;3.940;3.840;5.223;1.462;26;5.9;9.2;0.004470;2.443;100.000;92.422;0.50958
1133;Therapeutic Advances in Medical Oncology;THER ADV MED ONCOL;1758-8340;486;3.938;3.938;Not Available;0.963;27;3.3;5.0;0.001950;Not Available;22.220;71.596;0.22254
1134;Advances in Genetics;ADV GENET;0065-2660;1,231;3.933;3.933;4.644;1.667;6;7.2;5.1;0.003280;1.838;0.000;76.807;0.37378
1134;Liquid Crystals Reviews;LIQ CRYST REV;2168-0396;60;3.933;3.733;3.933;0.2;5;Not Available;>10.0;0.000370;1.653;40.000;81.113;0.04273
1136;DENTAL MATERIALS;DENT MATER;0109-5641;10,324;3.931;3.044;4.667;0.674;187;7.2;8.1;0.013640;1.039;96.260;87.679;1.55474
1136;MOLECULAR PHARMACOLOGY;MOL PHARMACOL;0026-895X;19,494;3.931;3.709;4.023;0.959;197;>10.0;7.9;0.019500;1.276;87.820;82.157;2.22303
1138;DNA REPAIR;DNA REPAIR;1568-7864;5,133;3.929;3.539;3.445;0.682;148;6.6;8.8;0.015790;1.646;96.620;82.825;1.79925
1138;Journal of Biomedical Nanotechnology;J BIOMED NANOTECHNOL;1550-7033;3,718;3.929;3.446;3.564;0.901;182;2.8;6.7;0.007450;0.584;93.960;71.468;0.84939
1140;JOURNAL OF CHROMATOGRAPHY A;J CHROMATOGR A;0021-9673;63,243;3.926;3.147;4.150;0.675;973;8.2;7.1;0.067070;0.813;97.840;84.234;7.64479
1141;Advances in Ecological Research;ADV ECOL RES;0065-2504;1,710;3.920;3.920;4.677;Not Available;0;>10.0;Not Available;0.001650;1.763;Not Available;81.667;0.18844
1141;HELICOBACTER;HELICOBACTER;1083-4389;2,349;3.920;3.394;3.486;1.219;64;5.4;6.8;0.004070;0.768;89.060;76.706;0.46345
1141;JOURNAL OF ALZHEIMERS DISEASE;J ALZHEIMERS DIS;1387-2877;12,919;3.920;3.423;4.079;0.98;640;4.2;7.6;0.039160;1.121;89.690;73.633;4.46341
1144;JOURNAL OF CLINICAL PERIODONTOLOGY;J CLIN PERIODONTOL;0303-6979;11,767;3.915;3.270;4.435;0.658;155;9.5;8.3;0.013970;1.242;95.480;93.956;1.59248
1144;Transplantation Reviews;TRANSPLANT REV-ORLAN;0955-470X;623;3.915;3.830;3.652;0.472;36;3.8;7.6;0.002170;1.247;100.000;72.609;0.24722
1146;EUROPEAN PSYCHIATRY;EUR PSYCHIAT;0924-9338;4,229;3.912;3.707;3.638;0.806;139;7.2;7.5;0.007310;1.068;91.370;82.254;0.83371
1146;EUROPEAN PSYCHIATRY;EUR PSYCHIAT;0924-9338;4,229;3.912;3.707;3.638;0.806;139;7.2;7.5;0.007310;1.068;91.370;82.254;0.83371
1148;INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY;INT J BIOCHEM CELL B;1357-2725;14,758;3.905;3.842;4.172;0.587;242;7.2;7.1;0.025880;1.257;86.360;67.930;2.94986
1148;PLANT MOLECULAR BIOLOGY;PLANT MOL BIOL;0167-4412;13,551;3.905;3.771;3.874;0.682;129;>10.0;8.6;0.010970;1.053;99.220;81.341;1.25033
1150;COLLOIDS AND SURFACES B-BIOINTERFACES;COLLOID SURFACE B;0927-7765;19,417;3.902;3.548;4.269;0.689;727;4.5;6.6;0.035730;0.800;98.760;76.252;4.07237
1150;EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY;EUR J MED CHEM;0223-5234;24,004;3.902;3.262;3.982;1.063;766;5.0;7.8;0.038300;0.695;89.690;90.678;4.36600
1152;THEORETICAL AND APPLIED GENETICS;THEOR APPL GENET;0040-5752;20,633;3.900;3.432;4.115;0.646;192;>10.0;9.0;0.017630;0.961;95.310;89.606;2.00960
1153;INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY;INT J MED MICROBIOL;1438-4221;3,521;3.898;3.778;4.016;0.842;114;5.8;8.0;0.008700;1.329;85.960;73.614;0.99165
1153;Journal of Ginseng Research;J GINSENG RES;1226-8453;855;3.898;3.306;2.849;0.491;55;3.1;8.4;0.002320;0.591;92.730;93.450;0.26401
1155;BEST PRACTICE & RESEARCH IN CLINICAL GASTROENTEROLOGY;BEST PRACT RES CL GA;1521-6918;2,866;3.897;3.897;3.992;0.38;79;5.7;5.9;0.005560;0.990;98.730;75.316;0.63326
1155;COMPOSITES SCIENCE AND TECHNOLOGY;COMPOS SCI TECHNOL;0266-3538;22,010;3.897;3.535;4.502;0.663;273;8.3;7.0;0.023030;1.061;99.270;98.000;2.62502
1157;CANCER SCIENCE;CANCER SCI;1347-9032;10,294;3.896;3.812;3.668;0.509;216;5.9;6.8;0.021110;0.977;89.810;71.127;2.40579
1157;Journal of Neuroimmune Pharmacology;J NEUROIMMUNE PHARM;1557-1890;1,847;3.896;3.714;3.489;1.0;57;3.9;7.7;0.005040;0.953;68.420;77.503;0.57502
1159;JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY;J PUBL ADM RES THEOR;1053-1858;3,121;3.893;3.107;4.545;0.553;47;8.5;>10.0;0.006230;1.933;100.000;98.936;0.70974
1160;CLINICAL GENETICS;CLIN GENET;0009-9163;6,076;3.892;3.686;3.572;0.763;173;7.0;6.6;0.015400;1.434;86.710;75.000;1.75475
1160;EUROPEAN JOURNAL OF ENDOCRINOLOGY;EUR J ENDOCRINOL;0804-4643;11,626;3.892;3.684;3.878;0.947;244;6.9;7.6;0.021600;1.174;81.150;75.564;2.46243
1160;Stem Cell Research;STEM CELL RES;1873-5061;1,871;3.892;3.772;4.018;0.356;118;2.9;7.0;0.007450;1.244;97.460;71.186;0.84913
1160;TISSUE ENGINEERING;TISSUE ENG;2152-4947;19,545;3.892;3.563;4.451;0.734;433;5.9;7.4;0.036450;1.095;95.380;71.186;4.15403
1164;JOURNAL OF PEDIATRICS;J PEDIATR-US;0022-3476;26,063;3.890;3.711;4.122;0.92;423;>10.0;7.5;0.044840;1.564;99.760;95.417;5.11110
1165;Cancer Prevention Research;CANCER PREV RES;1940-6207;4,603;3.887;3.701;4.650;0.778;135;4.3;6.8;0.018630;1.538;95.560;70.657;2.12381
1166;JOURNAL OF MARKETING;J MARKETING;0022-2429;17,131;3.885;3.385;7.192;0.405;37;>10.0;>10.0;0.011370;3.007;100.000;92.083;1.29569
1167;OCEANOGRAPHY;OCEANOGRAPHY;1042-8275;2,814;3.883;3.767;3.911;2.263;57;6.2;6.4;0.007950;1.730;100.000;95.902;0.90631
1167;Therapeutic Advances in Gastroenterology;THER ADV GASTROENTER;1756-283X;694;3.883;3.867;Not Available;0.903;31;3.5;6.2;0.002410;Not Available;38.710;74.051;0.27421
1169;Current Topics in Membranes;CURR TOP MEMBR;1063-5823;481;3.881;3.833;2.817;0.632;19;3.7;9.6;0.001990;1.147;0.000;75.830;0.22731
1170;TOXICOLOGICAL SCIENCES;TOXICOL SCI;1096-6080;15,817;3.880;3.572;4.307;0.903;248;7.6;7.3;0.024280;1.180;97.180;88.333;2.76725
1171;Frontiers in Neural Circuits;FRONT NEURAL CIRCUIT;1662-5110;2,110;3.879;3.526;3.880;0.41;78;2.6;9.3;0.012820;1.723;88.460;72.852;1.46142
1172;TRANSFUSION MEDICINE REVIEWS;TRANSFUS MED REV;0887-7963;1,164;3.878;3.816;3.764;0.962;26;7.8;6.6;0.002790;1.455;0.000;73.571;0.31848
1173;JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS;J MECH PHYS SOLIDS;0022-5096;14,024;3.875;3.519;4.485;0.78;177;>10.0;>10.0;0.020230;1.874;100.000;85.832;2.30619
1174;BMC GENOMICS;BMC GENOMICS;1471-2164;29,555;3.867;3.544;4.276;0.52;1,176;4.3;6.8;0.093930;1.334;99.060;77.416;10.70561
1174;Journal of Proteomics;J PROTEOMICS;1874-3919;7,507;3.867;3.602;3.986;0.892;333;3.3;7.6;0.027690;1.100;96.400;81.169;3.15599
1176;JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH;J EPIDEMIOL COMMUN H;0143-005X;12,440;3.865;3.644;3.931;0.75;168;9.6;7.3;0.020540;1.558;94.050;93.145;2.34129
1176;JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH;J EPIDEMIOL COMMUN H;0143-005X;12,440;3.865;3.644;3.931;0.75;168;9.6;7.3;0.020540;1.558;94.050;93.145;2.34129
1178;EuroIntervention;EUROINTERVENTION;1774-024X;3,712;3.863;3.616;3.277;1.771;166;3.3;4.9;0.016570;1.338;96.390;73.790;1.88850
1179;Educational Research Review;EDUC RES REV-NETH;1747-938X;552;3.860;3.814;5.140;0.125;16;4.5;8.4;0.002500;1.922;6.250;98.918;0.28484
1180;MOLECULAR AND CELLULAR ENDOCRINOLOGY;MOL CELL ENDOCRINOL;0303-7207;13,333;3.859;3.683;3.974;0.777;391;6.1;8.6;0.029700;1.253;90.790;68.288;3.38570
1181;FOOD HYDROCOLLOIDS;FOOD HYDROCOLLOID;0268-005X;12,203;3.858;3.221;4.703;1.124;386;6.2;9.3;0.016340;0.940;98.700;91.392;1.86280
1181;MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY;MATCH-COMMUN MATH CO;0340-6253;2,277;3.858;3.395;2.387;0.826;92;3.9;9.2;0.007500;0.849;98.910;89.307;0.85436
1183;Journal of Environmental Informatics;J ENVIRON INFORM;1726-2135;406;3.857;3.633;2.421;0.208;24;3.2;8.4;0.001130;0.654;100.000;85.556;0.12858
1183;NeuroImage-Clinical;NEUROIMAGE-CLIN;2213-1582;1,569;3.857;3.857;3.981;Not Available;0;2.0;Not Available;0.008320;1.520;Not Available;82.143;0.94865
1185;COMPOSITE STRUCTURES;COMPOS STRUCT;0263-8223;16,843;3.853;2.554;3.874;0.738;978;5.5;8.8;0.029810;0.909;98.670;94.000;3.39752
1185;Journal of Cystic Fibrosis;J CYST FIBROS;1569-1993;2,950;3.853;3.453;3.825;1.466;103;4.2;7.2;0.008090;1.131;92.230;81.897;0.92187
1187;IEEE-ASME TRANSACTIONS ON MECHATRONICS;IEEE-ASME T MECH;1083-4435;4,858;3.851;2.533;3.833;0.724;312;4.5;7.3;0.012150;1.119;100.000;96.672;1.38459
1188;COMPOSITES PART B-ENGINEERING;COMPOS PART B-ENG;1359-8368;11,701;3.850;2.877;3.901;1.018;601;3.2;7.1;0.026850;0.875;99.500;92.941;3.06018
1189;CRYSTENGCOMM;CRYSTENGCOMM;1466-8033;25,875;3.849;3.330;3.801;0.928;1,063;3.4;6.1;0.055130;0.670;99.910;79.843;6.28323
1190;FUEL PROCESSING TECHNOLOGY;FUEL PROCESS TECHNOL;0378-3820;12,869;3.847;3.445;3.949;0.735;483;5.9;7.3;0.021290;0.894;98.140;84.736;2.42618
1190;TOXICOLOGY AND APPLIED PHARMACOLOGY;TOXICOL APPL PHARM;0041-008X;17,689;3.847;3.675;4.010;0.735;275;7.9;8.0;0.023870;1.007;99.270;84.297;2.72031
1192;JOURNAL OF NEUROCHEMISTRY;J NEUROCHEM;0022-3042;34,849;3.842;3.714;3.808;0.777;341;>10.0;8.5;0.036450;1.174;95.310;71.957;4.15496
1192;JOURNAL OF THE AMERICAN GERIATRICS SOCIETY;J AM GERIATR SOC;0002-8614;24,937;3.842;3.493;4.867;0.614;298;9.9;7.8;0.038510;1.769;99.330;90.003;4.38982
1192;JOURNAL OF THE AMERICAN GERIATRICS SOCIETY;J AM GERIATR SOC;0002-8614;24,937;3.842;3.493;4.867;0.614;298;9.9;7.8;0.038510;1.769;99.330;90.003;4.38982
1195;JOURNAL OF ADOLESCENT HEALTH;J ADOLESCENT HEALTH;1054-139X;11,470;3.838;3.541;4.147;0.991;215;7.2;6.7;0.025140;1.536;91.630;92.918;2.86549
1195;JOURNAL OF ADOLESCENT HEALTH;J ADOLESCENT HEALTH;1054-139X;11,470;3.838;3.541;4.147;0.991;215;7.2;6.7;0.025140;1.536;91.630;92.918;2.86549
1197;AMERICAN ECONOMIC REVIEW;AM ECON REV;0002-8282;35,805;3.833;3.664;5.140;1.05;220;>10.0;8.4;0.117640;6.921;100.000;97.536;13.40877
1198;AMERICAN JOURNAL OF OPHTHALMOLOGY;AM J OPHTHALMOL;0002-9394;21,627;3.831;3.512;4.069;1.104;289;>10.0;7.4;0.031340;1.513;98.620;91.964;3.57197
1199;BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;BRIT J CLIN PHARMACO;0306-5251;10,799;3.830;3.629;3.878;1.047;232;8.6;7.6;0.017060;1.148;78.020;80.980;1.94500
1200;WASTE MANAGEMENT;WASTE MANAGE;0956-053X;13,369;3.829;2.892;4.297;0.7;440;6.1;7.1;0.019050;0.871;94.320;82.056;2.17139
1201;ANESTHESIA AND ANALGESIA;ANESTH ANALG;0003-2999;22,483;3.827;3.131;3.732;1.359;301;9.3;7.6;0.026420;1.049;87.040;88.710;3.01172
1202;AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM;AM J PHYSIOL-ENDOC M;0193-1849;19,111;3.825;3.680;4.266;0.714;203;8.5;8.7;0.030150;1.486;93.100;77.693;3.43681
1203;VALUE IN HEALTH;VALUE HEALTH;1098-3015;5,039;3.824;3.623;3.761;0.59;100;5.4;7.6;0.014620;1.352;90.000;93.928;1.66621
1203;VALUE IN HEALTH;VALUE HEALTH;1098-3015;5,039;3.824;3.623;3.761;0.59;100;5.4;7.6;0.014620;1.352;90.000;93.928;1.66621
1205;APPLIED AND ENVIRONMENTAL MICROBIOLOGY;APPL ENVIRON MICROB;0099-2240;94,949;3.823;3.523;4.303;0.789;856;>10.0;8.2;0.096340;1.245;98.480;77.508;10.98043
1206;AAPS Journal;AAPS J;1550-7416;4,077;3.819;3.516;4.618;0.985;137;5.4;7.1;0.008280;1.162;76.640;80.588;0.94319
1206;ORE GEOLOGY REVIEWS;ORE GEOL REV;0169-1368;4,308;3.819;2.681;4.484;1.05;279;5.7;>10.0;0.006410;0.990;94.620;95.269;0.73041
1208;Journal of Biophotonics;J BIOPHOTONICS;1864-063X;1,877;3.818;3.597;3.381;1.042;96;3.6;7.4;0.006000;0.952;93.750;82.596;0.68442
1208;Journal of the Royal Society Interface;J R SOC INTERFACE;1742-5689;8,953;3.818;3.636;4.409;0.744;348;4.5;8.3;0.032440;1.616;94.250;86.508;3.69746
1210;Protein & Cell;PROTEIN CELL;1674-800X;1,540;3.817;3.720;3.043;1.614;70;3.1;6.8;0.006920;0.978;62.860;61.230;0.78865
1210;TOXICOLOGY;TOXICOLOGY;0300-483X;12,870;3.817;3.720;3.967;0.912;147;9.0;8.2;0.014620;0.999;89.120;83.154;1.66632
1212;NICOTINE & TOBACCO RESEARCH;NICOTINE TOB RES;1462-2203;7,482;3.811;3.299;3.569;1.72;193;5.6;6.8;0.023250;1.507;93.780;91.381;2.64994
1212;NICOTINE & TOBACCO RESEARCH;NICOTINE TOB RES;1462-2203;7,482;3.811;3.299;3.569;1.72;193;5.6;6.8;0.023250;1.507;93.780;91.381;2.64994
1212;PROGRESS IN AEROSPACE SCIENCES;PROG AEROSP SCI;0376-0421;1,994;3.811;3.679;4.102;0.422;45;>10.0;>10.0;0.003400;1.770;0.000;98.333;0.38750
1215;JOURNAL OF APPLIED PSYCHOLOGY;J APPL PSYCHOL;0021-9010;26,895;3.810;3.268;7.130;0.598;117;>10.0;>10.0;0.020960;3.339;96.580;92.855;2.38870
1216;Circulation-Cardiovascular Genetics;CIRC-CARDIOVASC GENE;1942-325X;2,388;3.808;3.683;4.685;1.317;82;4.1;6.4;0.011140;1.856;100.000;73.390;1.26996
1217;JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES;JAIDS-J ACQ IMM DEF;1525-4135;13,282;3.806;3.446;3.953;1.076;341;6.2;5.5;0.036050;1.545;98.530;72.736;4.10910
1218;PROSTATE CANCER AND PROSTATIC DISEASES;PROSTATE CANCER P D;1365-7852;1,655;3.803;3.684;3.196;0.702;57;5.2;6.3;0.004290;0.991;84.210;77.626;0.48871
1219;HEREDITY;HEREDITY;0018-067X;8,952;3.801;3.680;3.766;1.109;128;>10.0;8.8;0.013010;1.336;89.840;76.398;1.48284
1220;BEHAVIOUR RESEARCH AND THERAPY;BEHAV RES THER;0005-7967;14,410;3.798;3.395;4.599;0.478;138;>10.0;9.0;0.014800;1.556;98.550;90.574;1.68648
1220;International Journal of Applied Earth Observation and Geoinformation;INT J APPL EARTH OBS;0303-2434;3,638;3.798;3.391;3.904;1.372;188;3.6;8.1;0.009090;0.966;98.400;91.071;1.03620
1220;Soft Matter;SOFT MATTER;1744-683X;28,934;3.798;3.348;4.001;0.949;943;4.0;8.0;0.101840;1.205;97.240;83.184;11.60781
1223;ANAESTHESIA;ANAESTHESIA;0003-2409;7,690;3.794;2.630;3.429;2.261;153;8.6;6.4;0.009380;0.866;76.470;85.484;1.06915
1223;PARKINSONISM & RELATED DISORDERS;PARKINSONISM RELAT D;1353-8020;5,828;3.794;3.459;3.899;0.855;227;4.2;7.0;0.016190;1.173;95.150;80.052;1.84524
1225;SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH;SCAND J WORK ENV HEA;0355-3140;4,429;3.793;3.372;4.221;0.942;52;>10.0;7.6;0.006140;1.449;98.080;91.297;0.69937
